eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
Barbara Gordon (New Earth);1.0317;2.3578;0.0385;0;2.1339;
Jason Garrick (New Earth);0.4736;0.0254;0.256;0;0.8707;
Lois Lane (New Earth);0.0024;0.7637;1.2111;0;0.3336;
Alfred Pennyworth (New Earth);0.7725;0.3982;1.2823;0;0.0027;
Carter Hall (New Earth);1.2126;0.1479;0.0106;0;2.7562;
Spider-Man (Peter Parker);0.4773;0.7766;3.3647;0;8.8984;
Captain America (Steven Rogers);0.0843;0.0291;0.4103;0;0.1756;
Wolverine (James \"Logan\" Howlett);0.274;1.7386;1.1547;0;1.7775;
Iron Man (Anthony \"Tony\" Stark);0.2107;2e-04;0.4512;0;0.4711;
Thor (Thor Odinson);0.0302;0.1342;0.5026;0;0.7909;
Benjamin Grimm (Earth-616);0.5525;0.2035;2.7199;7.3223;2.7243;
Reed Richards (Earth-616);0.1923;2.7481;0.0532;0;0.341;
Hulk (Robert Bruce Banner);0.1923;2.7481;0.0532;0;0.341;
Scott Summers (Earth-616);0.253;8.7766;0.0296;0;0.004;
Jonathan Storm (Earth-616);0.0952;0.437;0.4303;0;0.221;
Henry McCoy (Earth-616);0.5525;0.2035;2.7199;7.3223;2.7243;
Susan Storm (Earth-616);0.2714;0.8171;0.3895;0;0.0031;
Namor McKenzie (Earth-616);0.7703;7.7634;0.2474;0;2.6386;
Ororo Munroe (Earth-616);0.2907;0.171;0.3705;0;0.0114;
Clinton Barton (Earth-616);0.0952;0.437;0.4303;0;0.221;
Matthew Murdock (Earth-616);1.0385;0.1787;3e-04;0;0.2812;
Stephen Strange (Earth-616);0.372;0.2641;0.7354;0;2.3412;
Mary Jane Watson (Earth-616);10.5607;0.6434;0.3906;0;0.0874;
John Jonah Jameson (Earth-616);0.151;5.5034;1.2713;0;3.0713;
Robert Drake (Earth-616);0.7251;2.0525;0.7052;0;1.7188;
Henry Pym (Earth-616);0.0952;0.437;0.4303;0;0.221;
Charles Xavier (Earth-616);0.3571;5.9972;1.9008;0;21.9908;
Warren Worthington III (Earth-616);0.0952;0.437;0.4303;0;0.221;
Piotr Rasputin (Earth-616);0.7604;0.0447;0.0039;0;0.0017;
